Q1,T1,Tsp,err
50.75148655999999,38.9983,41.0,2.0016999999999996
50.91962935999999,38.9983,41.0,2.0016999999999996
51.076562639999985,38.9983,41.0,2.0016999999999996
49.27845815999999,39.3206,41.0,1.6794000000000011
49.41281015999999,39.3206,41.0,1.6794000000000011
47.58757816,39.6429,41.0,1.3571000000000026
47.69071776,39.6429,41.0,1.3571000000000026
47.80362848,39.6429,41.0,1.3571000000000026
45.951784640000014,39.965199999999996,41.0,1.0348000000000042
46.03291296000001,39.965199999999996,41.0,1.0348000000000042
44.15896296000002,40.287499999999994,41.0,0.7125000000000057
44.21368296000002,40.287499999999994,41.0,0.7125000000000057
44.27011296000002,40.287499999999994,41.0,0.7125000000000057
42.36784111999999,40.6098,41.0,0.3902000000000001
42.39936927999999,40.6098,41.0,0.3902000000000001
